rid,lid_1,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r1101,l106897,aseptiser,l106894,aseptie,V,Nf,suf,Xiser,NA,X,simple,des2as
r1263,l107692,asticoter,l4253,Astiquette,V,Npx,suf,Xoter,suf,Xette,simple,indirect
r1914,l114739,balkaniser,l6369,Balkan,V,Npx,suf,Xiser,NA,X,simple,des2as
r2863,l126787,botaniser,l126790,botaniste,V,Nf,suf,Xiser,NA,X,simple,des2as
r4156,l138241,cancériser,l138199,cancer,V,Nf,suf,Xiser,NA,X,simple,des2as
r4602,l142411,cathétériser,l142412,cathétérisme,V,Nm,suf,Xiser,suf,Xisme,simple,indirect
r4855,l145294,champagniser,l145280,champagne,V,Nf,suf,Xiser,NA,X,simple,des2as
r12709,l190390,exorciser,l190392,exorcisme,V,Nm,suf,Xiser,suf,Xisme,simple,indirect
r13731,l196453,fonctionnariser,l196440,fonctionnaire,V,Nf,suf,Xiser,NA,X,simple,des2as
r14431,l202077,galvaniser,l202081,galvanisme,V,Nf,suf,Xiser,NA,X,simple,des2as
r14842,l205947,glorifier,l205916,gloire,V,Nf,suf,Xifier,NA,X,simple,des2as
r15529,l210848,guerroyer,l210836,guerre,V,Nf,suf,Xoyer,NA,X,simple,des2as
r15905,l215389,herboriser,l215391,herboriste,V,Nf,suf,Xiser,NA,X,simple,des2as
r16541,l221714,identifier,l221721,identité,V,Nf,suf,Xifier,NA,X,simple,des2as
r19283,l250663,mathématiser,l250658,mathématique,V,Nf,suf,Xiser,NA,X,simple,des2as
r19418,l252444,merceriser,l51546,Mercer,V,Npx,suf,Xiser,NA,X,simple,des2as
r19758,l255994,modéliser,l255983,modèle,V,Nf,suf,Xiser,NA,X,simple,des2as
r20412,l264551,mémoriser,l264525,mémoire,V,Nf,suf,Xiser,NA,X,simple,des2as
r20780,l268975,nobéliser,l383107,Nobel,V,Npm,suf,Xiser,NA,X,simple,des2as
r21581,l276453,ostraciser,l276454,ostracisme,V,Nm,suf,Xiser,suf,Xisme,simple,indirect
r21884,l279254,panifier,l278192,pain,V,Nm,suf,Xifier,NA,X,simple,des2as
r22512,l283280,peptoniser,l283275,peptone,V,Nf,suf,Xiser,NA,X,simple,des2as
r23303,l288509,planifier,l288377,plan,V,Nm,suf,Xifier,NA,X,simple,des2as
r24384,l296295,prophétiser,l296292,prophétie,V,Nf,suf,Xiser,NA,X,simple,des2as
r27127,l315685,robotiser,l315670,robot,V,Nf,suf,Xiser,NA,X,simple,des2as
r28237,l322810,saccharifier,l341952,sucre,V,Nm,suf,Xifier,NA,X,simple,des2as
r28655,l331376,scolariser,l376281,école,V,Nf,suf,Xariser,NA,X,motiv-sem,des2as
r30290,l344299,syllogiser,l344300,syllogisme,V,Nm,suf,Xiser,suf,Xisme,simple,indirect
r30329,l344570,syncrétiser,l344567,syncrèse,V,Nf,suf,Xiser,NA,X,simple,des2as
r30330,l344570,syncrétiser,l344571,syncrétisme,V,Nm,suf,Xiser,suf,Xisme,simple,indirect
r30358,l344730,synthétiser,l344723,synthèse,V,Nf,suf,Xiser,NA,X,simple,des2as
r30686,l347245,tapiriser,l347237,tapir,V,Nf,suf,Xiser,NA,X,simple,des2as
r32533,l361539,vacuoliser,l361536,vacuole,V,Nf,suf,Xiser,NA,X,simple,des2as
r32588,l362642,vampiriser,l362633,vampire,V,Nf,suf,Xiser,NA,X,simple,des2as
r32622,l362911,vaporiser,l362894,vapeur,V,Nf,suf,Xiser,NA,X,simple,des2as
r33094,l368740,vitrifier,l365029,verre,V,Nm,suf,Xifier,NA,X,simple,des2as
r34036,l377478,électriser,l377469,électricité,V,Nf,suf,Xiser,NA,X,simple,des2as
r34205,l378285,émulsifier,l378287,émulsion,V,Nf,suf,Xifier,NA,X,simple,des2as
r34859,l381554,chamaniser,l144934,chamane,V,Nf,suf,Xiser,NA,X,simple,des2as
r34860,l381571,morphiniser,l260360,morphine,V,Nf,suf,Xiser,NA,X,simple,des2as
